UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200211-18:35:21.950760,-108.180888,39.02977,3071,257.5,258.5,255.3,-108.054591,38.942311,4522.1,2.23,4.23,44.7
20200211-18:35:22.050760,-108.180888,39.029677,3071,258.4,259,255.4,-108.054593,38.942313,4522.1,2.25,4.23,44.7
20200211-18:35:22.150760,-108.180795,39.029585,3071,258.4,258.1,255.6,-108.054596,38.942315,4522.1,2.27,4.23,44.7
20200211-18:35:22.250760,-108.180795,39.029585,3071,257.5,260.7,254.6,-108.054598,38.942317,4522.1,2.26,4.23,44.7
20200211-18:35:22.350760,-108.180703,39.029492,3071,259,257.2,255.9,-108.054601,38.94232,4522.1,2.26,4.23,44.7
20200211-18:35:22.450760,-108.180703,39.029492,3071,258.3,259,255.6,-108.054603,38.942322,4522.1,2.24,4.23,44.7
20200211-18:35:22.550760,-108.18061,39.0294,3072,258.9,257.8,255.2,-108.054606,38.942324,4522.1,2.24,4.23,44.7
20200211-18:35:22.650760,-108.180518,39.0294,3073,257.8,259.1,255.1,-108.054608,38.942326,4522.1,2.23,4.23,44.7
20200211-18:35:22.750780,-108.180518,39.029307,3073,258.7,258.6,254.9,-108.054611,38.942329,4522.1,2.26,4.23,44.7
20200211-18:35:22.850780,-108.180425,39.029307,3074,258.6,259,253.8,-108.054614,38.942331,4522.1,2.26,4.23,44.7
20200211-18:35:22.950780,-108.180425,39.029214,3074,256.1,257.8,253.6,-108.054616,38.942333,4522.1,2.27,4.23,44.7
20200211-18:35:23.050780,-108.180332,39.029214,3074,258.4,258.6,252.8,-108.054619,38.942335,4522.1,2.26,4.22,44.7
20200211-18:35:23.150780,-108.180332,39.029122,3075,256.5,258.3,251.2,-108.054621,38.942337,4522.1,2.25,4.22,44.7
20200211-18:35:23.250780,-108.18024,39.029122,3075,256.7,258.4,250.4,-108.054624,38.94234,4522.1,2.24,4.23,44.7
20200211-18:35:23.350800,-108.18024,39.029029,3075,257.4,258.9,249.4,-108.054626,38.942342,4522.1,2.24,4.22,44.7
20200211-18:35:23.450800,-108.180147,39.029029,3075,257.1,256.7,248.9,-108.054629,38.942344,4522.1,2.26,4.22,44.7
20200211-18:35:23.550800,-108.180147,39.028937,3075,258.3,259,249.1,-108.054631,38.942346,4522.1,2.26,4.22,44.7
20200211-18:35:23.650800,-108.180055,39.028937,3076,258.7,258.2,247.7,-108.054634,38.942349,4522.1,2.26,4.23,44.7
20200211-18:35:23.750800,-108.180055,39.028844,3075,257.6,257.2,248,-108.054636,38.942351,4522.1,2.27,4.23,44.7
20200211-18:35:23.850800,-108.179962,39.028844,3075,255.8,256.4,247.6,-108.054639,38.942353,4522.1,2.25,4.22,44.7
20200211-18:35:23.950820,-108.179869,39.028751,3075,257.5,255.7,247.5,-108.054642,38.942355,4522.1,2.25,4.22,44.7
20200211-18:35:24.050800,-108.179869,39.028751,3075,258.3,255.8,247.4,-108.054644,38.942358,4522.1,2.24,4.22,44.7
20200211-18:35:24.150820,-108.179777,39.028659,3075,256.5,254.8,247.7,-108.054647,38.94236,4522.1,2.25,4.22,44.7
20200211-18:35:24.250800,-108.179777,39.028659,3075,256.9,254.4,246.5,-108.054649,38.942362,4522.1,2.26,4.22,44.7
20200211-18:35:24.350820,-108.179684,39.028566,3075,257.3,254.3,247.5,-108.054652,38.942364,4522.1,2.27,4.22,44.7
20200211-18:35:24.450820,-108.179592,39.028566,3075,256,253,246.6,-108.054654,38.942366,4522.1,2.28,4.22,44.7
20200211-18:35:24.550820,-108.179592,39.028474,3075,256.9,254.3,245.8,-108.054657,38.942369,4522.1,2.27,4.22,44.7
20200211-18:35:24.650820,-108.179499,39.028474,3075,257.6,253.1,245.5,-108.054659,38.942371,4522.1,2.26,4.22,44.7
20200211-18:35:24.750820,-108.179499,39.028381,3075,256.5,254.4,242.8,-108.054662,38.942373,4522.1,2.25,4.22,44.7
20200211-18:35:24.850820,-108.179406,39.028381,3075,256.2,252.5,240.9,-108.054664,38.942375,4522.1,2.26,4.21,44.7
20200211-18:35:24.950840,-108.179406,39.028288,3075,255.5,251,238.9,-108.054667,38.942378,4522.1,2.26,4.21,44.7
20200211-18:35:25.050840,-108.179314,39.028288,3075,255.9,252.6,237.3,-108.05467,38.94238,4522.1,2.27,4.22,44.7
20200211-18:35:25.150840,-108.179314,39.028196,3075,255,249.6,234.8,-108.054672,38.942382,4522.1,2.28,4.22,44.7
20200211-18:35:25.250840,-108.179221,39.028196,3075,255.6,251.9,233.3,-108.054675,38.942384,4522.1,2.27,4.22,44.7
20200211-18:35:25.350840,-108.179129,39.028196,3075,255.9,250.4,230.1,-108.054677,38.942386,4522.1,2.26,4.21,44.7
20200211-18:35:25.450840,-108.179129,39.028103,3075,256.3,248.4,229.1,-108.05468,38.942389,4522,2.25,4.21,44.7
20200211-18:35:25.550840,-108.179036,39.028103,3075,254,253.4,229.1,-108.054682,38.942391,4522,2.24,4.21,44.7
20200211-18:35:25.650860,-108.179036,39.028011,3076,255.7,250.4,228.7,-108.054685,38.942393,4522,2.25,4.22,44.7
20200211-18:35:25.750860,-108.178943,39.027918,3075,256.6,248.7,228.8,-108.054687,38.942395,4522,2.25,4.22,44.7
20200211-18:35:25.850860,-108.178851,39.027918,3075,257.9,249.7,229.8,-108.05469,38.942398,4522,2.29,4.21,44.7
20200211-18:35:25.950860,-108.178851,39.027825,3074,254.5,248.8,229.7,-108.054692,38.9424,4522,2.29,4.21,44.7
20200211-18:35:26.050860,-108.178758,39.027825,3074,256.8,249.9,230.7,-108.054695,38.942402,4522,2.28,4.21,44.7
20200211-18:35:26.150860,-108.178666,39.027825,3074,255.4,250.6,231.9,-108.054698,38.942404,4522,2.27,4.21,44.7
20200211-18:35:26.250860,-108.178666,39.027733,3073,254.4,248.6,232.5,-108.0547,38.942407,4522,2.26,4.21,44.7
20200211-18:35:26.450860,-108.178573,39.02764,3073,255.5,251.4,233.1,-108.054703,38.942409,4522,2.26,4.21,44.7
20200211-18:35:26.550880,-108.17848,39.02764,3073,255.9,249.7,234.4,-108.054705,38.942411,4522,2.28,4.21,44.7
20200211-18:35:26.650880,-108.17848,39.027548,3072,256.3,248.8,236.2,-108.054708,38.942413,4522,2.29,4.21,44.7
20200211-18:35:26.750880,-108.178388,39.027548,3072,256,250.9,238,-108.05471,38.942415,4522,2.29,4.21,44.7
20200211-18:35:26.850880,-108.178295,39.027455,3072,255.1,252.5,239.1,-108.054713,38.942418,4522,2.27,4.21,44.7
20200211-18:35:26.950880,-108.178295,39.027455,3072,255.9,253,240.7,-108.054715,38.94242,4522,2.26,4.2,44.7
20200211-18:35:27.050880,-108.178203,39.027362,3072,255.2,251.9,240.8,-108.054718,38.942422,4522,2.24,4.2,44.7
20200211-18:35:27.150900,-108.178203,39.027362,3072,255.9,253.3,243.1,-108.05472,38.942424,4522,2.25,4.2,44.7
20200211-18:35:27.250900,-108.17811,39.02727,3072,253.7,252.6,245.2,-108.054723,38.942427,4522,2.27,4.21,44.7
20200211-18:35:27.350900,-108.178018,39.02727,3073,253.3,252.3,244.8,-108.054725,38.942429,4522,2.28,4.21,44.7
20200211-18:35:27.450900,-108.178018,39.027177,3073,256.8,254.1,247.4,-108.054728,38.942431,4522,2.3,4.2,44.7
20200211-18:35:27.550900,-108.177925,39.027177,3073,256.9,254.9,247.7,-108.054731,38.942433,4522,2.29,4.2,44.7
20200211-18:35:27.650900,-108.177925,39.027085,3073,255.8,256.3,249.3,-108.054733,38.942435,4522,2.28,4.2,44.7
20200211-18:35:27.750920,-108.177832,39.027085,3074,257.4,254.2,249.9,-108.054736,38.942438,4522,2.27,4.2,44.7
20200211-18:35:27.850920,-108.177832,39.026992,3074,256.8,252.9,251.4,-108.054738,38.94244,4522,2.26,4.2,44.7
20200211-18:35:27.950920,-108.17774,39.026992,3074,256.8,252.5,252,-108.054741,38.942442,4522,2.27,4.2,44.7
20200211-18:35:28.050920,-108.17774,39.026899,3074,256.9,254.6,252.3,-108.054743,38.942444,4522,2.28,4.2,44.7
20200211-18:35:28.150900,-108.177647,39.026899,3075,254.5,257.1,251.6,-108.054746,38.942447,4522,2.3,4.2,44.7
20200211-18:35:28.250920,-108.177647,39.026807,3075,256.8,254,252.4,-108.054748,38.942449,4522,2.3,4.2,44.7
20200211-18:35:28.350920,-108.177555,39.026807,3075,255.5,255.3,253.8,-108.054751,38.942451,4522,2.28,4.2,44.7
20200211-18:35:28.450920,-108.177555,39.026714,3076,257.9,255.3,252.8,-108.054753,38.942453,4522,2.27,4.19,44.7
20200211-18:35:28.550920,-108.177462,39.026714,3076,256.1,255.7,252.9,-108.054756,38.942455,4522,2.25,4.19,44.7
20200211-18:35:28.650920,-108.177462,39.026622,3076,256.4,253.6,252.9,-108.054759,38.942458,4522,2.27,4.2,44.7
20200211-18:35:28.750940,-108.177369,39.026622,3077,256.5,254,253.3,-108.054761,38.94246,4522,2.27,4.2,44.7
20200211-18:35:28.850940,-108.177369,39.026529,3077,258.3,254.7,253.3,-108.054764,38.942462,4522,2.29,4.19,44.7
20200211-18:35:28.950940,-108.177277,39.026529,3078,255.5,254.4,253,-108.054766,38.942464,4522,2.29,4.19,44.7
20200211-18:35:29.050940,-108.177277,39.026436,3078,257.4,256,252,-108.054769,38.942467,4522,2.28,4.19,44.7
20200211-18:35:29.150940,-108.177184,39.026436,3079,256.5,254,251.9,-108.054771,38.942469,4522,2.27,4.19,44.7
20200211-18:35:29.250940,-108.177092,39.026344,3079,257,254.2,252.3,-108.054774,38.942471,4522,2.26,4.19,44.7
20200211-18:35:29.350940,-108.177092,39.026344,3079,258.2,252.7,251.5,-108.054776,38.942473,4522,2.27,4.19,44.7
20200211-18:35:29.450960,-108.176999,39.026251,3080,255.3,254.4,250.2,-108.054779,38.942476,4522,2.28,4.19,44.7
20200211-18:35:29.550960,-108.176999,39.026251,3080,258.1,253.7,249.2,-108.054781,38.942478,4522,2.3,4.19,44.7
20200211-18:35:29.650960,-108.176906,39.026159,3080,256.9,254.4,249.6,-108.054784,38.94248,4522,2.3,4.19,44.8
20200211-18:35:29.750960,-108.176906,39.026159,3080,257.5,253.3,248.9,-108.054787,38.942482,4522,2.3,4.19,44.8
20200211-18:35:29.850960,-108.176814,39.026066,3080,255.7,252.7,248.2,-108.054789,38.942484,4522,2.28,4.19,44.8
20200211-18:35:29.950960,-108.176814,39.026066,3080,257.4,251.8,247.6,-108.054792,38.942487,4522,2.26,4.19,44.8
20200211-18:35:30.050960,-108.176721,39.025973,3081,257.5,251.5,247.7,-108.054794,38.942489,4522,2.27,4.18,44.8
20200211-18:35:30.150960,-108.176629,39.025973,3081,257,253.5,247.4,-108.054797,38.942491,4522,2.27,4.18,44.8
20200211-18:35:30.250980,-108.176629,39.025881,3081,256.8,251.9,247.3,-108.054799,38.942493,4522,2.29,4.19,44.8
20200211-18:35:30.350980,-108.176536,39.025881,3081,257.1,254.1,246.6,-108.054802,38.942496,4522,2.3,4.18,44.8
20200211-18:35:30.450980,-108.176536,39.025788,3081,256.2,251.8,247.7,-108.054804,38.942498,4522,2.29,4.18,44.8
20200211-18:35:30.550980,-108.176443,39.025788,3082,256.5,252.8,247.9,-108.054807,38.9425,4522,2.28,4.18,44.8
20200211-18:35:30.650980,-108.176443,39.025696,3081,256.7,252.2,248,-108.054809,38.942502,4522,2.27,4.18,44.8
20200211-18:35:30.750980,-108.176351,39.025696,3082,257.6,250.8,248.2,-108.054812,38.942504,4521.9,2.27,4.18,44.8
20200211-18:35:30.850980,-108.176351,39.025603,3082,255,251.1,248.2,-108.054814,38.942507,4521.9,2.29,4.18,44.8
20200211-18:35:30.951000,-108.176258,39.025603,3082,257.1,250.8,248.1,-108.054817,38.942509,4521.9,2.3,4.18,44.8
20200211-18:35:31.051000,-108.176258,39.02551,3082,255.7,252.3,249.3,-108.05482,38.942511,4521.9,2.31,4.18,44.8
20200211-18:35:31.151000,-108.176166,39.02551,3082,258.4,252.8,248.7,-108.054822,38.942513,4521.9,2.31,4.18,44.8
20200211-18:35:31.251000,-108.176166,39.025418,3082,256.6,251,247.6,-108.054825,38.942516,4521.9,2.29,4.17,44.8
20200211-18:35:31.351000,-108.176073,39.025418,3082,255.6,249.6,247.4,-108.054827,38.942518,4521.9,2.28,4.18,44.8
20200211-18:35:31.451000,-108.17598,39.025325,3082,256.4,249.1,245,-108.05483,38.94252,4521.9,2.27,4.18,44.8
20200211-18:35:31.551020,-108.17598,39.025325,3082,256.1,250.2,245.9,-108.054832,38.942522,4521.9,2.28,4.17,44.8
20200211-18:35:31.651020,-108.175888,39.025233,3082,257.6,250.2,245.8,-108.054835,38.942525,4521.9,2.3,4.17,44.8
20200211-18:35:31.751020,-108.175795,39.025233,3082,256.9,249.2,245.4,-108.054837,38.942527,4521.9,2.3,4.17,44.8
20200211-18:35:31.851020,-108.175795,39.02514,3082,256.9,250.1,244.2,-108.05484,38.942529,4521.9,2.3,4.17,44.8
20200211-18:35:31.951020,-108.175703,39.02514,3082,255.9,248.2,242.5,-108.054842,38.942531,4521.9,2.29,4.17,44.8
20200211-18:35:32.051020,-108.175703,39.025047,3082,255.9,250.3,241.5,-108.054845,38.942533,4521.9,2.28,4.17,44.8
20200211-18:35:32.151020,-108.17561,39.025047,3082,257.3,249.1,239.6,-108.054848,38.942536,4521.9,2.27,4.17,44.8
20200211-18:35:32.251020,-108.17561,39.024955,3082,255.9,249.3,240.5,-108.05485,38.942538,4521.9,2.27,4.17,44.8
20200211-18:35:32.351020,-108.175517,39.024955,3083,255.2,248.5,240.1,-108.054853,38.94254,4521.9,2.3,4.17,44.8
20200211-18:35:32.451040,-108.175517,39.024862,3082,254.1,248,238.4,-108.054855,38.942542,4521.9,2.31,4.17,44.8
20200211-18:35:32.551040,-108.175425,39.024862,3083,255.9,247.8,236.9,-108.054858,38.942545,4521.9,2.31,4.17,44.8
20200211-18:35:32.651040,-108.175332,39.02477,3083,256.9,247.6,236.1,-108.05486,38.942547,4521.9,2.3,4.17,44.8
20200211-18:35:32.751040,-108.175332,39.024677,3083,256.1,249.5,236.7,-108.054863,38.942549,4521.9,2.28,4.17,44.8
20200211-18:35:32.851040,-108.17524,39.024677,3083,254.7,247.4,236.2,-108.054865,38.942551,4521.9,2.28,4.17,44.8
20200211-18:35:32.951040,-108.17524,39.024584,3083,256.6,246.2,235.8,-108.054868,38.942553,4521.9,2.28,4.16,44.8
20200211-18:35:33.051040,-108.175147,39.024584,3084,255.5,249.4,236.1,-108.05487,38.942556,4521.9,2.3,4.17,44.8
20200211-18:35:33.151060,-108.175147,39.024492,3084,254.3,247.7,236.4,-108.054873,38.942558,4521.9,2.3,4.17,44.8
20200211-18:35:33.251060,-108.175054,39.024492,3084,254.1,247.8,238,-108.054876,38.94256,4521.9,2.31,4.17,44.8
20200211-18:35:33.351060,-108.174962,39.024399,3085,254.8,247.4,238.7,-108.054878,38.942562,4521.9,2.3,4.16,44.8
20200211-18:35:33.451060,-108.174962,39.024399,3085,255.5,246.8,241,-108.054881,38.942565,4521.9,2.28,4.16,44.8
20200211-18:35:33.551060,-108.174869,39.024307,3085,254.8,248.3,241.4,-108.054883,38.942567,4521.9,2.28,4.16,44.8
20200211-18:35:33.651080,-108.174777,39.024307,3086,254.5,248.5,241.9,-108.054886,38.942569,4521.9,2.27,4.16,44.8
20200211-18:35:33.751060,-108.174777,39.024214,3086,256.2,246.4,242.6,-108.054888,38.942571,4521.9,2.29,4.16,44.8
20200211-18:35:33.851060,-108.174684,39.024214,3087,255.4,247.3,244.3,-108.054891,38.942573,4521.9,2.3,4.16,44.8
20200211-18:35:33.951060,-108.174684,39.024121,3087,255.7,244.8,244.9,-108.054893,38.942576,4521.9,2.31,4.16,44.8
20200211-18:35:34.051080,-108.174684,39.024029,3088,254,246.7,246.6,-108.054896,38.942578,4521.9,2.31,4.16,44.8
20200211-18:35:34.151080,-108.174591,39.024029,3088,255.3,247.8,247.4,-108.054898,38.94258,4521.9,2.3,4.16,44.8
20200211-18:35:34.251080,-108.174499,39.023936,3089,254.5,250.1,247,-108.054901,38.942582,4521.9,2.29,4.16,44.8
20200211-18:35:34.351080,-108.174499,39.023936,3089,254.9,248,246.5,-108.054903,38.942585,4521.9,2.27,4.16,44.8
20200211-18:35:34.451080,-108.174406,39.023844,3090,255.7,246,246.3,-108.054906,38.942587,4521.9,2.29,4.16,44.8
20200211-18:35:34.551080,-108.174314,39.023844,3090,254.5,247,244.4,-108.054909,38.942589,4521.9,2.3,4.16,44.8
20200211-18:35:34.651100,-108.174314,39.023751,3090,253.6,248.2,244,-108.054911,38.942591,4521.9,2.32,4.16,44.8
20200211-18:35:34.751100,-108.174221,39.023751,3091,254.3,247.6,243.1,-108.054914,38.942594,4521.9,2.31,4.16,44.8
20200211-18:35:34.851100,-108.174221,39.023658,3092,254.2,247.3,241.7,-108.054916,38.942596,4521.9,2.3,4.16,44.8
20200211-18:35:34.951100,-108.174221,39.023566,3092,254.4,247.5,240.7,-108.054919,38.942598,4521.9,2.29,4.16,44.8
20200211-18:35:35.051100,-108.174128,39.023566,3092,257.1,245.8,240.7,-108.054921,38.9426,4521.9,2.27,4.16,44.8
20200211-18:35:35.151100,-108.174036,39.023473,3093,256.1,244.6,237.9,-108.054924,38.942602,4521.9,2.28,4.15,44.8
20200211-18:35:35.251100,-108.173943,39.023473,3093,257.4,244.4,236.5,-108.054926,38.942605,4521.9,2.28,4.16,44.8
20200211-18:35:35.351100,-108.173943,39.023381,3094,256.6,243.2,234.8,-108.054929,38.942607,4521.9,2.3,4.16,44.8
20200211-18:35:35.451120,-108.173851,39.023381,3094,256.1,242.8,233.7,-108.054931,38.942609,4521.9,2.31,4.16,44.8
20200211-18:35:35.551120,-108.173851,39.023288,3094,257.9,244.8,232.3,-108.054934,38.942611,4521.9,2.31,4.15,44.8
20200211-18:35:35.651120,-108.173758,39.023288,3094,256,242.2,228.5,-108.054937,38.942614,4521.9,2.3,4.15,44.8
20200211-18:35:35.751120,-108.173758,39.023196,3094,256.2,243.5,226.5,-108.054939,38.942616,4521.9,2.29,4.15,44.8
20200211-18:35:35.851120,-108.173665,39.023103,3095,258.8,241.8,225.3,-108.054942,38.942618,4521.9,2.28,4.16,44.8
20200211-18:35:35.951120,-108.173573,39.023103,3095,255.1,241.6,223.4,-108.054944,38.94262,4521.9,2.29,4.15,44.8
20200211-18:35:36.051120,-108.173573,39.02301,3095,258,241,221.2,-108.054947,38.942622,4521.9,2.31,4.15,44.8
20200211-18:35:36.151140,-108.17348,39.02301,3095,257.6,239.7,219.5,-108.054949,38.942625,4521.8,2.32,4.15,44.8
20200211-18:35:36.251140,-108.17348,39.022918,3095,254.3,241.1,216.8,-108.054952,38.942627,4521.8,2.32,4.15,44.8
20200211-18:35:36.351140,-108.173388,39.022918,3095,255.7,239.1,215,-108.054954,38.942629,4521.8,2.3,4.15,44.8
20200211-18:35:36.451140,-108.173388,39.022825,3095,255.6,240.2,214,-108.054957,38.942631,4521.8,2.28,4.15,44.8
20200211-18:35:36.551140,-108.173295,39.022825,3095,254.8,240.3,213.3,-108.054959,38.942634,4521.8,2.28,4.15,44.8
20200211-18:35:36.651140,-108.173202,39.022733,3094,257.1,240.6,212,-108.054962,38.942636,4521.8,2.28,4.15,44.8
20200211-18:35:36.751140,-108.17311,39.022733,3094,254.7,239.5,211.8,-108.054964,38.942638,4521.8,2.31,4.15,44.8
20200211-18:35:36.851140,-108.17311,39.02264,3094,254.7,236.1,210.2,-108.054967,38.94264,4521.8,2.31,4.15,44.8
20200211-18:35:36.951160,-108.173017,39.02264,3094,255.2,239,210.7,-108.05497,38.942642,4521.8,2.32,4.15,44.8
20200211-18:35:37.051160,-108.173017,39.022547,3093,253.9,236.6,211,-108.054972,38.942645,4521.8,2.3,4.15,44.8
20200211-18:35:37.151160,-108.172925,39.022455,3092,254.4,236.4,211,-108.054975,38.942647,4521.8,2.29,4.15,44.8
20200211-18:35:37.251160,-108.172832,39.022455,3093,251.7,236.5,210.7,-108.054977,38.942649,4521.8,2.28,4.15,44.8
20200211-18:35:37.351160,-108.172832,39.022362,3092,254.8,237.2,211,-108.05498,38.942651,4521.8,2.29,4.15,44.8
20200211-18:35:37.451180,-108.172739,39.022362,3092,252,236.1,210.9,-108.054982,38.942654,4521.8,2.3,4.15,44.8
20200211-18:35:37.551160,-108.172647,39.02227,3091,254.2,236.4,211.1,-108.054985,38.942656,4521.8,2.32,4.15,44.8
20200211-18:35:37.651160,-108.172647,39.02227,3091,251.9,236.3,211.7,-108.054987,38.942658,4521.8,2.32,4.15,44.8
20200211-18:35:37.751160,-108.172554,39.022177,3091,252,235.4,211.3,-108.05499,38.94266,4521.8,2.31,4.15,44.8
20200211-18:35:37.851160,-108.172462,39.022177,3092,253.3,235,211.3,-108.054992,38.942663,4521.8,2.29,4.15,44.8
20200211-18:35:37.951180,-108.172462,39.022084,3091,253.6,236,211.8,-108.054995,38.942665,4521.8,2.28,4.15,44.8
20200211-18:35:38.051180,-108.172369,39.022084,3091,252.5,235.1,211,-108.055,38.942669,4521.8,2.29,4.15,44.8
20200211-18:35:38.151180,-108.172276,39.021992,3091,251.5,236.2,211.3,-108.055003,38.942671,4521.8,2.31,4.15,44.8
20200211-18:35:38.251180,-108.172276,39.021899,3091,252.3,235.5,211,-108.055005,38.942674,4521.8,2.33,4.15,44.8
20200211-18:35:38.351200,-108.172184,39.021899,3090,253.2,236,210.5,-108.055008,38.942676,4521.8,2.31,4.15,44.8
20200211-18:35:38.451180,-108.172184,39.021807,3090,253.3,235.3,211.4,-108.055013,38.94268,4521.8,2.29,4.15,44.9
20200211-18:35:38.551200,-108.172091,39.021807,3090,251.9,236.9,211.2,-108.055015,38.942683,4521.8,2.28,4.15,44.9
20200211-18:35:38.651200,-108.171999,39.021714,3090,249.7,236.6,210.9,-108.055018,38.942685,4521.8,2.3,4.15,44.9
20200211-18:35:38.751200,-108.171906,39.021714,3089,253.5,233.2,211.2,-108.05502,38.942687,4521.8,2.31,4.16,44.9
20200211-18:35:38.851200,-108.171906,39.021621,3089,252.2,235.3,211.5,-108.055023,38.942689,4521.8,2.33,4.15,44.9
20200211-18:35:38.951200,-108.171814,39.021621,3089,251.6,236,211.1,-108.055026,38.942691,4521.8,2.32,4.15,44.9
20200211-18:35:39.051220,-108.171814,39.021529,3089,252.8,237.5,210.9,-108.055028,38.942694,4521.8,2.31,4.15,44.9
20200211-18:35:39.151220,-108.171721,39.021529,3088,253.6,236.7,212.3,-108.055031,38.942696,4521.8,2.3,4.15,44.9
20200211-18:35:39.251220,-108.171628,39.021436,3088,252.1,238.1,212.6,-108.055033,38.942698,4521.8,2.28,4.15,44.9
20200211-18:35:39.351220,-108.171536,39.021436,3087,254.9,238.9,215.3,-108.055036,38.9427,4521.8,2.29,4.15,44.9
20200211-18:35:39.451220,-108.171536,39.021344,3086,255,241.3,217.6,-108.055038,38.942703,4521.8,2.3,4.15,44.9
20200211-18:35:39.551220,-108.171443,39.021344,3086,255.2,243.4,219.2,-108.055041,38.942705,4521.8,2.32,4.15,44.9
20200211-18:35:39.651220,-108.171351,39.021251,3085,253.1,241.5,222.2,-108.055043,38.942707,4521.8,2.32,4.16,44.9
20200211-18:35:39.751220,-108.171351,39.021158,3084,252.7,240,224.4,-108.055046,38.942709,4521.8,2.31,4.15,44.9
20200211-18:35:39.851220,-108.171258,39.021158,3083,251.6,241.1,227.4,-108.055048,38.942711,4521.8,2.29,4.15,44.9
20200211-18:35:39.951240,-108.171165,39.021158,3083,251.7,241.4,229.5,-108.055051,38.942714,4521.8,2.29,4.15,44.9
20200211-18:35:40.051240,-108.171165,39.021066,3082,252.2,241,232.3,-108.055053,38.942716,4521.8,2.3,4.15,44.9
20200211-18:35:40.151240,-108.171073,39.020973,3081,250.7,242.3,235.5,-108.055056,38.942718,4521.8,2.31,4.15,44.9
20200211-18:35:40.251240,-108.17098,39.020973,3081,251.9,243.4,236,-108.055059,38.94272,4521.8,2.32,4.15,44.9
20200211-18:35:40.351240,-108.17098,39.020881,3081,251,243.9,234.1,-108.055061,38.942723,4521.8,2.32,4.15,44.9
20200211-18:35:40.451240,-108.170888,39.020881,3081,252.2,242,233.6,-108.055064,38.942725,4521.8,2.31,4.15,44.9
20200211-18:35:40.551260,-108.170888,39.020788,3081,251.6,242.5,231.8,-108.055066,38.942727,4521.8,2.3,4.15,44.9
20200211-18:35:40.651240,-108.170795,39.020788,3081,252.5,242.7,229.5,-108.055069,38.942729,4521.8,2.29,4.15,44.9
20200211-18:35:40.751260,-108.170702,39.020695,3081,251.2,242.9,227.4,-108.055071,38.942732,4521.8,2.29,4.15,44.9
20200211-18:35:40.851260,-108.170702,39.020695,3081,250.4,242.5,225.4,-108.055074,38.942734,4521.8,2.3,4.15,44.9
20200211-18:35:40.951260,-108.17061,39.020603,3082,251.4,242.6,224.3,-108.055076,38.942736,4521.8,2.31,4.15,44.9
20200211-18:35:41.051260,-108.17061,39.02051,3082,252.3,243.9,222.6,-108.055079,38.942738,4521.8,2.32,4.15,44.9
20200211-18:35:41.151260,-108.170517,39.02051,3082,252.3,242.8,222.3,-108.055081,38.94274,4521.8,2.32,4.16,44.9
20200211-18:35:41.251280,-108.170517,39.020418,3083,252.2,242.9,222.1,-108.055084,38.942743,4521.7,2.31,4.15,44.9
20200211-18:35:41.351260,-108.170425,39.020418,3083,252.4,241.8,221.7,-108.055087,38.942745,4521.7,2.3,4.15,44.9
20200211-18:35:41.451260,-108.170425,39.020325,3083,251.1,243.1,224.8,-108.055089,38.942747,4521.7,2.29,4.15,44.9
20200211-18:35:41.551280,-108.170332,39.020325,3084,252.8,242.4,226.2,-108.055092,38.942749,4521.7,2.3,4.16,44.9
20200211-18:35:41.651280,-108.170239,39.020232,3085,250.9,244,228.5,-108.055094,38.942752,4521.7,2.32,4.16,44.9
20200211-18:35:41.751280,-108.170239,39.020232,3085,251.5,245.2,230.7,-108.055097,38.942754,4521.7,2.33,4.15,44.9
20200211-18:35:41.851280,-108.170147,39.02014,3085,253.6,245.4,231.4,-108.055099,38.942756,4521.7,2.33,4.15,44.9
20200211-18:35:41.951280,-108.170147,39.020047,3085,252.8,244.3,234.1,-108.055102,38.942758,4521.7,2.32,4.15,44.9
20200211-18:35:42.051280,-108.170054,39.020047,3086,250.5,244.2,236.2,-108.055104,38.94276,4521.7,2.3,4.16,44.9
20200211-18:35:42.151280,-108.170054,39.019955,3086,253.5,244.5,236.7,-108.055107,38.942763,4521.7,2.29,4.16,44.9
20200211-18:35:42.251300,-108.169962,39.019955,3086,253.5,244.7,238.6,-108.055109,38.942765,4521.7,2.29,4.15,44.9
20200211-18:35:42.351300,-108.169869,39.019862,3086,251.7,247.9,239.4,-108.055112,38.942767,4521.7,2.31,4.16,44.9
20200211-18:35:42.451300,-108.169776,39.019862,3086,253.5,246.4,239.4,-108.055114,38.942769,4521.7,2.31,4.16,44.9
20200211-18:35:42.551300,-108.169776,39.019769,3085,252.4,244.8,240.3,-108.05512,38.942774,4521.7,2.31,4.16,44.9
20200211-18:35:42.651300,-108.169684,39.019769,3086,253,247.2,238.3,-108.055122,38.942776,4521.7,2.31,4.15,44.9
20200211-18:35:42.851320,-108.169591,39.019677,3086,253.7,246.9,237.9,-108.055125,38.942778,4521.7,2.3,4.16,44.9
20200211-18:35:42.951320,-108.169591,39.019584,3086,253.4,246.6,235.9,-108.055127,38.94278,4521.7,2.29,4.16,44.9
20200211-18:35:43.051320,-108.169499,39.019584,3086,253.3,247.4,235.8,-108.05513,38.942783,4521.7,2.32,4.16,44.9
